Key,Value
"
What kind of graph is great to visualize correlation or relationships? - ","Scatterplot
"
"
What are two potential problems in the Data Cleaning/Wrangling step? - ","Some cleaning techniques could dramatically change data/outcomes

Outliers not dealt with can cause problems with statistical models due to excessive variability.
"
"
What is a potential problem in the data exploration/descriptive statistics step? - ","Skipping this step could enable faulty perceptions of the data which hurt advanced analytics.
"
"
What is factor analysis? - ","Find the underlying common factor that gives rise to multiple indicators
"
"
What are critical path activities? - ","Critical path activities are the project tasks that must start and finish on time to ensure that the project ends on schedule.
"
"
What are three benefits to self-generated data? - ","Millions of variations and trials
Can create scenarios that humans wouldn't
Needed for creating rules
"
"
In what phase does the analyst deal with the following: 

Central Tendency/ Measures of center (e.g., mean, median, mode), variability (e.g., standard deviations and quartiles) and distributions (e.g., normal, skewed, etc)
Identify basic correlations between variables
Pattern discovery - ","Data exploration/Exploratory Data Analysis(EDA)/Descriptive Statistics
"
"
What is the term for this question: Why did it happen? - ","Diagnostic Analytics
"
"
ggplot2, tidyverse, caret are essential libraries of which tool? - ","R
"
"
In what phase does the analyst deal with the following: 

Estimate/project future values or likelihood of an event.
Extend correlations found in EDA to mathematical models
Predict/determine output values based on input values
Cross-validation of predictive models to ensure accuracy. - ","Predictive Modeling/Data Modeling/Correlation based models/Regression models/Time Series
"
"
What is a great tool for showing outliers and skewness of the data? - ","Histograms
"
"
What are three things to remember when scraping data? - ","Respect privacy
Respect copyright
Visible doesn't mean open
"
"
Which tool is best used for Data Science (Deep Learning/AI), Web Development, Embedded Systems - ","Python
"
"
What is the term for this question: How can we make it happen? - ","Prescriptive Analytics
"
"
What three aspects of the project are NON NEGOTIABLE? - ","Quality
Cost
Time
"
"
In what phase does the analyst deal with the following: 

Gather/collect data from a variety of sources
Provide structure to data accessible via relational databases (SQL)
Build data pipeline (ETL)
Use of API to download data from an external source - ","Data acquisition
"
"
What does the role of project manager include? - ","Get data to the org
Clear hurdles
Makes insights actionable
Communicates results to others
Helps team focus on the purpose of the data
Representing the team at meetings
"
"
What type of data would databases be categorized as? - ","Structured data
"
"
This term deals with responsibly collecting, using, and storing data about people in line with the expectations of those people, your customers, regulations, and laws. - ","Data privacy
"
"
What type of data would youtube videos and audio be considered? - ","Unstructured data
"
"
What tool consists of many to use packages? - ","R
"
